"Password","","","","","","","","","","","","",""
"Password String Requirements:","","","","","","","","","","","","",""
"V-38475","medium","The system must require passwords to contain a minimum of 14 characters.","Requiring a minimum password length makes password cracking attacks more difficult by ensuring a larger search space. However, any security benefit from an onerous requirement must be carefully weighed against usability problems, support costs, or counterproductive behavior that may result.

While it does not negate the password length requirement, it is preferable to migrate from a password-based authentication scheme to a stronger one based on PKI (public key infrastructure).","None","SV-50275r1_rule","F-43419r1_fix","To specify password length requirements for new accounts, edit the file ""/etc/login.defs"" and add or correct the following lines:

PASS_MIN_LEN 14



The DoD requirement is ""14"". If a program consults ""/etc/login.defs"" and also another PAM module (such as ""pam_cracklib"") during a password change operation, then the most restrictive must be satisfied.","C-46029r1_chk","To check the minimum password length, run the command:

$ grep PASS_MIN_LEN /etc/login.defs

The DoD requirement is ""14"".
If it is not set to the required value, this is a finding.","","","",""
"V-38482","low","The system must require passwords to contain at least one numeric character.","Requiring digits makes password guessing attacks more difficult by ensuring a larger search space.","None","SV-50282r1_rule","F-43427r1_fix","The pam_cracklib module's ""dcredit"" parameter controls requirements for usage of digits in a password. When set to a negative number, any password will be required to contain that many digits. When set to a positive number, pam_cracklib will grant +1 additional length credit for each digit. Add ""dcredit=-1"" after pam_cracklib.so to require use of a digit in passwords.","C-46037r1_chk","To check how many digits are required in a password, run the following command:

$ grep pam_cracklib /etc/pam.d/system-auth

The ""dcredit"" parameter (as a negative number) will indicate how many digits are required. The DoD requires at least one digit in a password. This would appear as ""dcredit=-1"".
If dcredit is not found or not set to the required value, this is a finding.","","","",""
"V-38569","low","The system must require passwords to contain at least one uppercase alphabetic character.","Requiring a minimum number of uppercase characters makes password guessing attacks more difficult by ensuring a larger search space.","None","SV-50370r1_rule","F-43517r1_fix","The pam_cracklib module's ""ucredit="" parameter controls requirements for usage of uppercase letters in a password. When set to a negative number, any password will be required to contain that many uppercase characters. When set to a positive number, pam_cracklib will grant +1 additional length credit for each uppercase character. Add ""ucredit=-1"" after pam_cracklib.so to require use of an uppercase character in passwords.","C-46127r1_chk","To check how many uppercase characters are required in a password, run the following command:

$ grep pam_cracklib /etc/pam.d/system-auth

The ""ucredit"" parameter (as a negative number) will indicate how many uppercase characters are required. The DoD requires at least one uppercase character in a password. This would appear as ""ucredit=-1"".
If ucredit is not found or not set to the required value, this is a finding.","","","",""
"V-38570","low","The system must require passwords to contain at least one special character.","Requiring a minimum number of special characters makes password guessing attacks more difficult by ensuring a larger search space.","None","SV-50371r1_rule","F-43518r1_fix","The pam_cracklib module's ""ocredit="" parameter controls requirements for usage of special (or ``other'') characters in a password. When set to a negative number, any password will be required to contain that many special characters. When set to a positive number, pam_cracklib will grant +1 additional length credit for each special character. Add ""ocredit=-1"" after pam_cracklib.so to require use of a special character in passwords.","C-46128r1_chk","To check how many special characters are required in a password, run the following command:

$ grep pam_cracklib /etc/pam.d/system-auth

The ""ocredit"" parameter (as a negative number) will indicate how many special characters are required. The DoD requires at least one special character in a password. This would appear as ""ocredit=-1"".
If ocredit is not found or not set to the required value, this is a finding.","","","",""
"V-38571","low","The system must require passwords to contain at least one lowercase alphabetic character.","Requiring a minimum number of lowercase characters makes password guessing attacks more difficult by ensuring a larger search space.","None","SV-50372r1_rule","F-43519r1_fix","The pam_cracklib module's ""lcredit="" parameter controls requirements for usage of lowercase letters in a password. When set to a negative number, any password will be required to contain that many lowercase characters. When set to a positive number, pam_cracklib will grant +1 additional length credit for each lowercase character. Add ""lcredit=-1"" after pam_cracklib.so to require use of a lowercase character in passwords.","C-46129r1_chk","To check how many lowercase characters are required in a password, run the following command:

$ grep pam_cracklib /etc/pam.d/system-auth

The ""lcredit"" parameter (as a negative number) will indicate how many special characters are required. The DoD requires at least one lowercase character in a password. This would appear as ""lcredit=-1"".
If lcredit is not found or not set to the required value, this is a finding.","","","",""
"V-38693","low","The system must require passwords to contain no more than three consecutive repeating characters.","Passwords with excessive repeating characters may be more vulnerable to password-guessing attacks.","None","SV-50494r2_rule","F-43642r2_fix","The pam_cracklib module's ""maxrepeat"" parameter controls requirements for consecutive repeating characters. When set to a positive number, it will reject passwords which contain more than that number of consecutive characters. Add ""maxrepeat=3"" after pam_cracklib.so to prevent a run of (3 + 1) or more identical characters.

password required pam_cracklib.so maxrepeat=3 ","C-46255r1_chk","To check the maximum value for consecutive repeating characters, run the following command:

$ grep pam_cracklib /etc/pam.d/system-auth

Look for the value of the ""maxrepeat"" parameter. The DoD requirement is 3.
If maxrepeat is not found or not set to the required value, this is a finding.","","","",""
"Password Hashes:","","","","","","","","","","","","",""
"V-38576","medium","The system must use a FIPS 140-2 approved cryptographic hashing algorithm for generating account password hashes (login.defs).","Using a stronger hashing algorithm makes password cracking attacks more difficult.","None","SV-50377r1_rule","F-43524r1_fix","In ""/etc/login.defs"", add or correct the following line to ensure the system will use SHA-512 as the hashing algorithm:

ENCRYPT_METHOD SHA512","C-46134r1_chk","Inspect ""/etc/login.defs"" and ensure the following line appears:

ENCRYPT_METHOD SHA512


If it does not, this is a finding.","","","",""
"V-38577","medium","The system must use a FIPS 140-2 approved cryptographic hashing algorithm for generating account password hashes (libuser.conf).","Using a stronger hashing algorithm makes password cracking attacks more difficult.","None","SV-50378r1_rule","F-43525r1_fix","In ""/etc/libuser.conf"", add or correct the following line in its ""[defaults]"" section to ensure the system will use the SHA-512 algorithm for password hashing:

crypt_style = sha512","C-46135r1_chk","Inspect ""/etc/libuser.conf"" and ensure the following line appears in the ""[default]"" section:

crypt_style = sha512


If it does not, this is a finding.","","","",""
