"Miscellaneous:","","","","","","","","",""
"Graphical Desktop Environment: ","","","","","","","","",""
"V-38624","low","System logs must be rotated daily.","Log files that are not properly rotated run the risk of growing so large that they fill up the /var/log partition. Valuable logging information could be lost if the /var/log partition becomes full.","None","SV-50425r1_rule","F-43573r1_fix","The ""logrotate"" service should be installed or reinstalled if it is not installed and operating properly, by running the following command:

# yum reinstall logrotate","C-46183r1_chk","Run the following commands to determine the current status of the ""logrotate"" service: 

# grep logrotate /var/log/cron*

If the logrotate service is not run on a daily basis by cron, this is a finding."
"System Requirements:","","","","","","","","",""
"V-38588","medium","The system must not permit interactive boot.","Using interactive boot, the console user could disable auditing, firewalls, or other services, weakening system security.","None","SV-50389r1_rule","F-43536r1_fix","To disable the ability for users to perform interactive startups, edit the file ""/etc/sysconfig/init"". Add or correct the line: 

PROMPT=no

The ""PROMPT"" option allows the console user to perform an interactive system startup, in which it is possible to select the set of services which are started on boot.","C-46146r1_chk","To check whether interactive boot is disabled, run the following command: 

$ grep PROMPT /etc/sysconfig/init

If interactive boot is disabled, the output will show: 

PROMPT=no


If it does not, this is a finding."
"V-38596","medium","The system must implement virtual address space randomization.","Address space layout randomization (ASLR) makes it more difficult for an attacker to predict the location of attack code he or she has introduced into a process's address space during an attempt at exploitation. Additionally, ASLR also makes it more difficult for an attacker to know the location of existing code in order to repurpose it using return oriented programming (ROP) techniques.","None","SV-50397r2_rule","F-43543r1_fix","To set the runtime status of the ""kernel.randomize_va_space"" kernel parameter, run the following command: 

# sysctl -w kernel.randomize_va_space=2

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

kernel.randomize_va_space = 2","C-46153r2_chk","The status of the ""kernel.randomize_va_space"" kernel parameter can be queried by running the following commands: 

$ sysctl kernel.randomize_va_space
$ grep kernel.randomize_va_space /etc/sysctl.conf

The output of the command should indicate a value of at least ""1"" (preferably ""2""). If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"". 
If the correct value is not returned, this is a finding."
"V-38597","medium","The system must limit the ability of processes to have simultaneous write and execute access to memory.","ExecShield uses the segmentation feature on all x86 systems to prevent execution in memory higher than a certain address. It writes an address as a limit in the code segment descriptor, to control where code can be executed, on a per-process basis. When the kernel places a process's memory regions such as the stack and heap higher than this address, the hardware prevents execution in that address range.","None","SV-50398r2_rule","F-43545r1_fix","To set the runtime status of the ""kernel.exec-shield"" kernel parameter, run the following command: 

# sysctl -w kernel.exec-shield=1

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

kernel.exec-shield = 1","C-46155r3_chk","The status of the ""kernel.exec-shield"" kernel parameter can be queried by running the following command: 

$ sysctl kernel.exec-shield
$ grep kernel.exec-shield /etc/sysctl.conf

The output of the command should indicate a value of ""1"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"". 
If the correct value is not returned, this is a finding."
"V-38590","low","The system must allow locking of the console screen in text mode.","Installing ""screen"" ensures a console locking capability is available for users who may need to suspend console logins.","None","SV-50391r1_rule","F-43538r1_fix","To enable console screen locking when in text mode, install the ""screen"" package: 

# yum install screen

Instruct users to begin new terminal sessions with the following command: 

$ screen

The console can now be locked with the following key combination: 

ctrl+a x","C-46148r1_chk","Run the following command to determine if the ""screen"" package is installed: 

# rpm -q screen


If the package is not installed, this is a finding."
"V-38437","low","Automated file system mounting tools must not be enabled unless needed.","All filesystems that are required for the successful operation of the system should be explicitly listed in ""/etc/fstab"" by an administrator. New filesystems should not be arbitrarily introduced via the automounter.

The ""autofs"" daemon mounts and unmounts filesystems, such as user home directories shared via NFS, on demand. In addition, autofs can be used to handle removable media, and the default configuration provides the cdrom device as ""/misc/cd"". However, this method of providing access to removable media is not common, so autofs can almost always be disabled if NFS is not in use. Even if NFS is required, it is almost always possible to configure filesystem mounts statically by editing ""/etc/fstab"" rather than relying on the automounter. ","None","SV-50237r1_rule","F-43381r1_fix","If the ""autofs"" service is not needed to dynamically mount NFS filesystems or removable media, disable the service for all runlevels: 

# chkconfig --level 0123456 autofs off

Stop the service if it is already running: 

# service autofs stop","C-45991r1_chk","To verify the ""autofs"" service is disabled, run the following command: 

chkconfig --list autofs

If properly configured, the output should be the following: 

autofs 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Verify the ""autofs"" service is not running:

# service autofs status

If the autofs service is enabled or running, this is a finding."
"V-38438","low","Auditing must be enabled at boot by setting a kernel parameter.","Each process on the system carries an ""auditable"" flag which indicates whether its activities can be audited. Although ""auditd"" takes care of enabling this for all processes which launch after it does, adding the kernel argument ensures it is set for every process during boot.","None","SV-50238r2_rule","F-43382r2_fix","To ensure all processes can be audited, even those which start prior to the audit daemon, add the argument ""audit=1"" to the kernel line in ""/etc/grub.conf"", in the manner below:

kernel /vmlinuz-version ro vga=ext root=/dev/VolGroup00/LogVol00 rhgb quiet audit=1

UEFI systems may prepend ""/boot"" to the ""/vmlinuz-version"" argument. ","C-45992r2_chk","Inspect the kernel boot arguments (which follow the word ""kernel"") in ""/etc/grub.conf"". If they include ""audit=1"", then auditing is enabled at boot time. 

If auditing is not enabled at boot time, this is a finding."
"Mail:","","","","","","","","",""
"V-38622","medium","Mail relaying must be restricted.","This ensures ""postfix"" accepts mail messages (such as cron job reports) from the local system only, and not from the network, which protects it from network attack.","None","SV-50423r2_rule","F-43572r1_fix","Edit the file ""/etc/postfix/main.cf"" to ensure that only the following ""inet_interfaces"" line appears: 

inet_interfaces = localhost","C-46182r2_chk","If the system is an authorized mail relay host, this is not applicable. 

Run the following command to ensure postfix accepts mail messages from only the local system: 

$ grep inet_interfaces /etc/postfix/main.cf

If properly configured, the output should show only ""localhost"". 
If it does not, this is a finding."
"V-38446","medium","The mail system must forward all mail for root to one or more system administrators.","A number of system services utilize email messages sent to the root user to notify system administrators of active or impending issues.  These messages must be forwarded to at least one monitored email address.","None","SV-50246r1_rule","F-43391r1_fix","Set up an alias for root that forwards to a monitored email address:

# echo ""root: <system.administrator>@mail.mil"" >> /etc/aliases
# newaliases","C-46001r1_chk","Find the list of alias maps used by the Postfix mail server:

# postconf alias_maps

Query the Postfix alias maps for an alias for ""root"":

# postmap -q root <alias_map>

If there are no aliases configured for root that forward to a monitored email address, this is a finding."
